dataset,action_id,epoch,moderator_id,target_user_id,action_type,policy_handle,planID,statusID,message_id
facebook,110,10,1986,929,override,P-override,planA,6d616c2bcc0be5b8,c20b233f3efad26573d2
facebook,111,2,2468,3901,takedown,P-takedown,planB,17bced320353f70f,6ef3cd086f940f92af76
facebook,112,4,2040,3326,ban,P-ban,planA,1a11d4f64cd4121c,743ae2fdf41353f1925f
facebook,113,8,2283,154,restrict,P-restrict,planB,49b6007c26d9c7c3,aa02935bbb48cd0d2d13
facebook,114,4,2253,1474,escalate,P-escalate,planA,1a11d4f64cd4121c,431ea92137c12e73fa32
facebook,115,8,1610,469,takedown,P-takedown,planB,49b6007c26d9c7c3,2f58cd5f5d2858bec993
facebook,116,4,2625,1790,takedown,P-takedown,planA,1a11d4f64cd4121c,85d8abe6fa55da88b7da
facebook,117,10,2331,450,ban,P-ban,planA,6d616c2bcc0be5b8,96e8a94d1d64c00af05e
facebook,118,2,2395,1575,override,P-override,planB,17bced320353f70f,464e36ed66719a9b4c2c
facebook,119,6,2290,1094,takedown,P-takedown,planC,0f6b668bf9c9d1de,6994fff53311fb17b679
facebook,120,9,1943,2292,takedown,P-takedown,planC,a2c17524f1000642,6b9183e69225414c47db
facebook,121,11,1577,3398,escalate,P-escalate,planB,195d230130b98480,e76c917b26af7b24fb05
facebook,122,2,1917,2063,ban,P-ban,planB,17bced320353f70f,41059d42dea6c3220238
facebook,123,4,2404,3110,ban,P-ban,planA,1a11d4f64cd4121c,299c79a0aecd3780e19c
facebook,124,4,1199,3252,ban,P-ban,planA,1a11d4f64cd4121c,f76c318404e79d757d17
facebook,125,4,2374,1849,escalate,P-escalate,planA,1a11d4f64cd4121c,f15b7f307f9ce6467c8e
facebook,126,2,428,3602,override,P-override,planB,17bced320353f70f,52de38d53a653a89de7c
facebook,127,8,2520,839,override,P-override,planB,49b6007c26d9c7c3,78df0c75c60f1368d563
facebook,128,6,1946,734,override,P-override,planC,0f6b668bf9c9d1de,f97fb35fb929f857e44a
facebook,129,12,2586,548,takedown,P-takedown,planC,8474efcae6319ae4,f63f6ef7243f3c3c9a16
facebook,130,3,1376,431,restrict,P-restrict,planC,6ca48bc823743a7b,8fa282f6ba1794cbfd5d
facebook,131,5,1835,1440,ban,P-ban,planB,3d7ea8e5ddb288d9,552bef4b1214e7822a71
facebook,132,7,2363,1098,takedown,P-takedown,planA,d25a00e131ed5055,b988a7689733846ba1d9
facebook,133,6,475,578,ban,P-ban,planC,0f6b668bf9c9d1de,e8784a7e308d0b0aa73d
facebook,134,11,1377,3367,takedown,P-takedown,planB,195d230130b98480,a6c69d5436d4ec1713b6
facebook,135,8,2369,1236,restrict,P-restrict,planB,49b6007c26d9c7c3,ce9cae9c1bc2313851f3
facebook,136,4,2339,2405,restrict,P-restrict,planA,1a11d4f64cd4121c,a1fe1c719ff0d7d1b719
facebook,137,11,2037,1453,takedown,P-takedown,planB,195d230130b98480,660dbb81ed178626c3e5
facebook,138,1,2655,3997,escalate,P-escalate,planA,f73645e8cf7d0fef,5910c9d85d26fba4fb75
facebook,139,8,2064,342,override,P-override,planB,49b6007c26d9c7c3,fb9a0ea2aae32a3cc6ea
facebook,140,10,2054,1281,override,P-override,planA,6d616c2bcc0be5b8,bd138adda96885d9a722
facebook,141,1,2339,3417,ban,P-ban,planA,f73645e8cf7d0fef,ebbec2ab555ee66850da
facebook,142,11,2275,1291,takedown,P-takedown,planB,195d230130b98480,d5a822b50798c986adc2
facebook,143,2,2081,2039,takedown,P-takedown,planB,17bced320353f70f,13e1b8ac95d6121dc3e5
facebook,144,4,2340,1165,takedown,P-takedown,planA,1a11d4f64cd4121c,5832a344fbecefb1a0fb
facebook,145,8,1516,3297,override,P-override,planB,49b6007c26d9c7c3,0ffb6cf09219261b6267
facebook,146,6,2199,435,takedown,P-takedown,planC,0f6b668bf9c9d1de,1e67492e6b9967ec9271
facebook,147,2,2047,1449,takedown,P-takedown,planB,17bced320353f70f,d9373bd5aec91e9f8858
facebook,148,11,2074,3308,takedown,P-takedown,planB,195d230130b98480,0b6c92b09e06b7713c85
facebook,149,3,2007,2368,override,P-override,planC,6ca48bc823743a7b,debd9dc8826b4357af65
facebook,150,12,2108,315,takedown,P-takedown,planC,8474efcae6319ae4,19cbd7428e8d8ed0ade0
facebook,151,1,1835,1128,takedown,P-takedown,planA,f73645e8cf7d0fef,6538d45e955fbf9a797f
facebook,152,6,2064,47,takedown,P-takedown,planC,0f6b668bf9c9d1de,7541a536e76c64bc5ba4
facebook,153,6,2363,2991,restrict,P-restrict,planC,0f6b668bf9c9d1de,e3d52be95b0a5e25c92e
facebook,154,11,2423,104,takedown,P-takedown,planB,195d230130b98480,9ab95b7b020f0e5e533c
facebook,155,10,2550,3394,takedown,P-takedown,planA,6d616c2bcc0be5b8,cf4eac222f7c626ce78b
facebook,156,4,2087,2807,takedown,P-takedown,planA,1a11d4f64cd4121c,8bc57d0dab609bad5058
facebook,157,2,1522,1326,override,P-override,planB,17bced320353f70f,382e19d7a71e32b7169f
facebook,158,7,1971,1389,override,P-override,planA,d25a00e131ed5055,6c315defa3a8a04304a4
facebook,159,8,1377,3967,takedown,P-takedown,planB,49b6007c26d9c7c3,5ec36764eb57387b08fe
facebook,160,2,2276,2885,override,P-override,planB,17bced320353f70f,d4fffa27191c82fe694e
facebook,161,2,1399,3759,override,P-override,planB,17bced320353f70f,542a44191dfdb399e824
facebook,162,4,2124,2947,ban,P-ban,planA,1a11d4f64cd4121c,507f46e8514c11637345
facebook,163,1,1584,3400,takedown,P-takedown,planA,f73645e8cf7d0fef,4beee4c42818194b8810
facebook,164,2,1813,3331,takedown,P-takedown,planB,17bced320353f70f,d4f1e8290851dcfa9b36
facebook,165,9,2408,2235,escalate,P-escalate,planC,a2c17524f1000642,118c9b02282aaa8231a8
facebook,166,7,1768,3739,takedown,P-takedown,planA,d25a00e131ed5055,05ee33e3b72d8a5777e2
facebook,167,3,2283,1598,escalate,P-escalate,planC,6ca48bc823743a7b,a4254042bd09e11d5dab
facebook,168,9,2172,3350,restrict,P-restrict,planC,a2c17524f1000642,d7394265fa1bdfb0d22e
facebook,169,5,2005,541,override,P-override,planB,3d7ea8e5ddb288d9,854c694bb9b8156e0a9a
facebook,170,1,2020,2745,takedown,P-takedown,planA,f73645e8cf7d0fef,a598d82abc4bd49e1eb4
facebook,171,8,1993,302,restrict,P-restrict,planB,49b6007c26d9c7c3,c5feeaac4ba19941d2d2
facebook,172,2,1621,3965,restrict,P-restrict,planB,17bced320353f70f,e68ec5916a6c01eb9ba6
facebook,173,9,2363,1058,escalate,P-escalate,planC,a2c17524f1000642,79397704d8960cd19245
facebook,174,1,2229,820,takedown,P-takedown,planA,f73645e8cf7d0fef,9908aeb797fdeb241315
facebook,175,5,1984,1421,takedown,P-takedown,planB,3d7ea8e5ddb288d9,3799ed101864ba8537e4
facebook,176,12,1827,1054,ban,P-ban,planC,8474efcae6319ae4,46a980d549584f317cf1
facebook,177,7,1126,1193,override,P-override,planA,d25a00e131ed5055,4568caa5e3dcf60f23cb
facebook,178,7,1559,987,takedown,P-takedown,planA,d25a00e131ed5055,84317ae7e056759846d9
facebook,179,7,2590,3664,restrict,P-restrict,planA,d25a00e131ed5055,eaaa78770acd872c8ae4
facebook,180,3,2054,3920,escalate,P-escalate,planC,6ca48bc823743a7b,026948c1b1bea4407670
facebook,181,1,2199,2372,ban,P-ban,planA,f73645e8cf7d0fef,a62a21b32218a11934a5
facebook,182,5,1184,1760,takedown,P-takedown,planB,3d7ea8e5ddb288d9,8069c247b8ab8cfde786
facebook,183,4,1983,3399,takedown,P-takedown,planA,1a11d4f64cd4121c,4fe6f3303b78476c5416
facebook,184,8,1962,3567,escalate,P-escalate,planB,49b6007c26d9c7c3,e508a14334c780fc9131
facebook,185,11,2468,240,takedown,P-takedown,planB,195d230130b98480,a701c91038801d258ca6
facebook,186,6,2064,752,ban,P-ban,planC,0f6b668bf9c9d1de,9a88e7a67bff09a373d3
facebook,187,3,2111,3731,takedown,P-takedown,planC,6ca48bc823743a7b,4980537103aaa06e8147
facebook,188,7,1888,2556,escalate,P-escalate,planA,d25a00e131ed5055,311a200fac3176982e41
facebook,189,2,2275,3412,takedown,P-takedown,planB,17bced320353f70f,4b3e7338a4a8ed171d97
facebook,190,9,2468,3689,takedown,P-takedown,planC,a2c17524f1000642,d8e336486de758407d77
facebook,191,9,1938,3731,escalate,P-escalate,planC,a2c17524f1000642,695078e39ca913af489b
facebook,192,6,2030,3571,takedown,P-takedown,planC,0f6b668bf9c9d1de,c1f7dbe0fe6765bc23c2
facebook,193,2,2446,1491,takedown,P-takedown,planB,17bced320353f70f,1dc187530085b7877a7e
facebook,194,3,2030,3573,restrict,P-restrict,planC,6ca48bc823743a7b,ae3d17c7174a03db6a0a
facebook,195,11,2578,1697,takedown,P-takedown,planB,195d230130b98480,1778c459b68c0c7e1713
facebook,196,3,2266,2725,takedown,P-takedown,planC,6ca48bc823743a7b,beeefead7f7f84d0912f
facebook,197,5,1718,3456,takedown,P-takedown,planB,3d7ea8e5ddb288d9,745036f9c9f4c3fb9373
facebook,198,9,2124,664,restrict,P-restrict,planC,a2c17524f1000642,05ab63940acd3cbdb1be
facebook,199,10,1971,790,ban,P-ban,planA,6d616c2bcc0be5b8,273df8a4d773826877fc
facebook,200,11,1993,1869,restrict,P-restrict,planB,195d230130b98480,51a54ea93959aef07d43
facebook,201,7,1986,1330,takedown,P-takedown,planA,d25a00e131ed5055,cf3602c92756f72cd83a
facebook,202,12,2619,1305,restrict,P-restrict,planC,8474efcae6319ae4,1f2d18dc0b4e1022b87e
facebook,203,1,2276,3119,override,P-override,planA,f73645e8cf7d0fef,f2e60805ad33a04b6720
facebook,204,4,1736,3109,ban,P-ban,planA,1a11d4f64cd4121c,6c99dcfaa94b080f1a0f
facebook,205,2,2078,3793,takedown,P-takedown,planB,17bced320353f70f,06ef87baeae0adeaae0c
facebook,206,3,2133,3564,escalate,P-escalate,planC,6ca48bc823743a7b,3b23f4709818aab2abf9
facebook,207,8,2409,1082,takedown,P-takedown,planB,49b6007c26d9c7c3,f6e3fd7725978b786a74
facebook,208,5,2282,1355,takedown,P-takedown,planB,3d7ea8e5ddb288d9,237287a6ad17853a7533
facebook,209,5,2073,3961,takedown,P-takedown,planB,3d7ea8e5ddb288d9,9ed93284acaeecb5fe46
facebook,210,7,1918,2957,takedown,P-takedown,planA,d25a00e131ed5055,9948eeb78dc7ec82f90c
facebook,211,9,2333,1504,restrict,P-restrict,planC,a2c17524f1000642,41bfd72e27decb2ce55b
facebook,212,3,1804,848,override,P-override,planC,6ca48bc823743a7b,8b8be12066c8573388e1
facebook,213,2,1559,3815,override,P-override,planB,17bced320353f70f,fb338fcee3a6033ea54a
facebook,214,2,2108,8,ban,P-ban,planB,17bced320353f70f,0fb5800eea55f65f71ea
facebook,215,7,1078,3962,takedown,P-takedown,planA,d25a00e131ed5055,ad8fccd3b3bf06305847
facebook,216,7,2064,1911,takedown,P-takedown,planA,d25a00e131ed5055,4841845734fe81f2fe9b
facebook,217,4,1522,3310,takedown,P-takedown,planA,1a11d4f64cd4121c,6805707650ac892a568d
facebook,218,7,2564,1594,override,P-override,planA,d25a00e131ed5055,986415899c7a2a681e58
facebook,219,8,2408,3190,override,P-override,planB,49b6007c26d9c7c3,8fb9f17df40fcf62c9e4
facebook,220,2,1943,186,takedown,P-takedown,planB,17bced320353f70f,f96899e07abda138960b
facebook,221,11,2408,3566,ban,P-ban,planB,195d230130b98480,4b96db52594dc04c7c4e
facebook,222,12,2059,1375,takedown,P-takedown,planC,8474efcae6319ae4,c4463b1d2bf4e5964553
facebook,223,7,1835,2227,ban,P-ban,planA,d25a00e131ed5055,9f4cceda622fbf28d456
facebook,224,7,2363,587,override,P-override,planA,d25a00e131ed5055,a000a6d5b3932df82b17
facebook,225,9,2206,3325,takedown,P-takedown,planC,a2c17524f1000642,2ce85774b1abf8a111aa
facebook,226,10,2404,1461,takedown,P-takedown,planA,6d616c2bcc0be5b8,1cff5c566da73a1fadd2
facebook,227,5,2423,2303,ban,P-ban,planB,3d7ea8e5ddb288d9,2831b508b2c33799752f
facebook,228,7,2139,1262,escalate,P-escalate,planA,d25a00e131ed5055,d90bb941f7f8fcdc2146
facebook,229,6,1736,2411,escalate,P-escalate,planC,0f6b668bf9c9d1de,b379b8727d46525742bb
facebook,230,9,2363,101,takedown,P-takedown,planC,a2c17524f1000642,59b1b3aa0a146909d982
facebook,231,8,2520,3354,ban,P-ban,planB,49b6007c26d9c7c3,b22b844bca14733c9539
facebook,232,1,1613,1039,ban,P-ban,planA,f73645e8cf7d0fef,d52d8830179309ab1ca8
facebook,233,6,2278,2906,takedown,P-takedown,planC,0f6b668bf9c9d1de,c1b97e2b451dd40d0e7d
facebook,234,4,2326,2848,restrict,P-restrict,planA,1a11d4f64cd4121c,503566ad590f8fb48412
facebook,235,5,2133,3278,escalate,P-escalate,planB,3d7ea8e5ddb288d9,b8a7c98eb7d7202c4d11
facebook,236,9,2047,3525,takedown,P-takedown,planC,a2c17524f1000642,5c1a1952547d47d51438
facebook,237,8,2040,1860,escalate,P-escalate,planB,49b6007c26d9c7c3,775bb34cfd941564a91b
facebook,238,9,2078,405,restrict,P-restrict,planC,a2c17524f1000642,b614cda482303434ef39
facebook,239,7,1966,2122,takedown,P-takedown,planA,d25a00e131ed5055,758956823a9f5be3794f
facebook,240,3,1943,2239,ban,P-ban,planC,6ca48bc823743a7b,a56269250e9ae14fdda3
facebook,241,5,2409,551,takedown,P-takedown,planB,3d7ea8e5ddb288d9,ca1a1d15fbf9e9377030
facebook,242,1,1126,134,restrict,P-restrict,planA,f73645e8cf7d0fef,573c2a1453f86c31bdb0
facebook,243,6,2131,1695,restrict,P-restrict,planC,0f6b668bf9c9d1de,d402cd346d90fcb9c93e
facebook,244,9,1613,559,restrict,P-restrict,planC,a2c17524f1000642,f5924b48a108cb0ce69d
facebook,245,8,2615,1598,restrict,P-restrict,planB,49b6007c26d9c7c3,e5644c7bf3df90d86f0c
facebook,246,5,1839,3578,escalate,P-escalate,planB,3d7ea8e5ddb288d9,a003dca58d490109e8d8
facebook,247,10,2244,3742,takedown,P-takedown,planA,6d616c2bcc0be5b8,f91c7f43fb4d614fa872
facebook,248,3,2118,83,takedown,P-takedown,planC,6ca48bc823743a7b,e67fec0f589254c9d413
facebook,249,9,946,3140,takedown,P-takedown,planC,a2c17524f1000642,c79d7c95669c7dd01c74
facebook,250,7,2309,1667,restrict,P-restrict,planA,d25a00e131ed5055,2ee9fc3e7b57f6fcbea4
facebook,251,8,2598,3194,takedown,P-takedown,planB,49b6007c26d9c7c3,93250f7a2d69735555e8
facebook,252,6,2460,3277,takedown,P-takedown,planC,0f6b668bf9c9d1de,eb873cb14f724380af05
facebook,253,8,2124,989,ban,P-ban,planB,49b6007c26d9c7c3,d818201e7e77b15b7df3
facebook,254,1,2602,3790,restrict,P-restrict,planA,f73645e8cf7d0fef,c25038c2eaaa29ecb022
facebook,255,11,2395,1030,takedown,P-takedown,planB,195d230130b98480,8cc784e86db29da90a8c
facebook,256,5,2409,3803,takedown,P-takedown,planB,3d7ea8e5ddb288d9,9fb17fb51ef3c1918273
facebook,257,12,2308,842,ban,P-ban,planC,8474efcae6319ae4,43729d08fffcdeaa6e97
facebook,258,7,1199,1406,restrict,P-restrict,planA,d25a00e131ed5055,f2e34781286fdb868e31
facebook,259,9,2073,1364,escalate,P-escalate,planC,a2c17524f1000642,d6017e18abb32f903062
facebook,260,1,2218,3304,escalate,P-escalate,planA,f73645e8cf7d0fef,796466f75c8a1c456a42
facebook,261,2,2328,1284,takedown,P-takedown,planB,17bced320353f70f,549636834b89aa99645b
facebook,262,1,2190,440,ban,P-ban,planA,f73645e8cf7d0fef,c103663e0580db42e541
facebook,263,10,946,3595,escalate,P-escalate,planA,6d616c2bcc0be5b8,44668b41d88d3be4019a
facebook,264,8,1663,3413,escalate,P-escalate,planB,49b6007c26d9c7c3,71d63d1b955d09384162
facebook,265,5,1730,3769,escalate,P-escalate,planB,3d7ea8e5ddb288d9,8bfc441d2dc0ea27a143
facebook,266,1,2619,2897,restrict,P-restrict,planA,f73645e8cf7d0fef,bb85bc00961fe9b25302
facebook,267,1,2331,1215,ban,P-ban,planA,f73645e8cf7d0fef,4ab2faa2a2c710e7169a
facebook,268,3,925,4037,takedown,P-takedown,planC,6ca48bc823743a7b,68ea2c32b42eacd6a180
