dataset,user_id,role,region_bucket,tenure_bucket,device_bucket,ticket_bucket,activity_bucket,degree,attr_sig,edu_feat,work_feat,loc_feat,lang_feat,other_feat,edu_bucket,work_bucket,loc_bucket,lang_bucket
facebook,211,user,EU,senior,web,T15,high,58,user|EU|senior|web|T15|high|mid|high,6,6,0,2,1,mid,high,low,mid
facebook,199,user,EU,senior,api,T18,high,92,user|EU|senior|api|T18|high|low|mid,5,3,1,0,1,low,mid,mid,low
facebook,84,user,ME,senior,mobile,T09,mid,24,user|ME|senior|mobile|T09|mid|mid|mid,6,2,1,0,1,mid,mid,mid,low
facebook,133,user,OC,senior,web,T08,mid,34,user|OC|senior|web|T08|mid|low|low,5,0,1,0,1,low,low,mid,low
facebook,62,user,EU,veteran,web,T08,mid,50,user|EU|veteran|web|T08|mid|low|low,3,0,1,1,1,low,low,mid,mid
facebook,239,user,LATAM,senior,web,T00,very_high,116,user|LATAM|senior|web|T00|very_high|low|mid,4,1,1,0,1,low,mid,mid,low
facebook,172,user,SA,mid,web,T06,high,80,user|SA|mid|web|T06|high|mid|high,6,8,1,2,1,mid,high,mid,mid
facebook,322,user,AF,mid,mobile,T19,very_high,142,user|AF|mid|mobile|T19|very_high|low|low,0,0,0,0,2,low,low,low,low
facebook,53,user,NA,veteran,api,T14,high,60,user|NA|veteran|api|T14|high|low|low,0,0,0,0,1,low,low,low,low
facebook,3,user,NA,senior,mobile,T16,mid,32,user|NA|senior|mobile|T16|mid|mid|high,7,5,1,1,1,mid,high,mid,mid
facebook,170,user,SA,new,mobile,T06,high,90,user|SA|new|mobile|T06|high|mid|high,7,14,1,2,1,mid,high,mid,mid
facebook,175,user,EU,mid,mobile,T02,mid,32,user|EU|mid|mobile|T02|mid|low|low,2,0,1,0,2,low,low,mid,low
facebook,46,user,ME,veteran,web,T03,low,8,user|ME|veteran|web|T03|low|low|low,2,0,0,0,2,low,low,low,low
facebook,56,user,NA,senior,api,T09,very_high,154,user|NA|senior|api|T09|very_high|mid|high,8,12,1,0,3,mid,high,mid,low
facebook,254,user,NA,new,api,T16,mid,32,user|NA|new|api|T16|mid|mid|high,7,9,1,0,2,mid,high,mid,low
facebook,194,user,AF,new,api,T06,mid,36,user|AF|new|api|T06|mid|mid|mid,6,3,1,0,1,mid,mid,mid,low
facebook,231,user,OC,new,api,T10,mid,40,user|OC|new|api|T10|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,117,user,EU,mid,mobile,T05,low,10,user|EU|mid|mobile|T05|low|low|low,2,0,0,0,1,low,low,low,low
facebook,127,user,SA,senior,web,T12,mid,30,user|SA|senior|web|T12|mid|mid|mid,6,3,0,0,1,mid,mid,low,low
facebook,135,user,EU,new,web,T03,low,18,user|EU|new|web|T03|low|mid|low,6,0,1,0,1,mid,low,mid,low
facebook,103,user,LATAM,veteran,mobile,T03,mid,30,user|LATAM|veteran|mobile|T03|mid|low|high,4,10,0,3,1,low,high,low,high
facebook,188,user,AF,veteran,web,T02,high,94,user|AF|veteran|web|T02|high|mid|mid,6,4,0,1,1,mid,mid,low,mid
facebook,23,user,SA,senior,mobile,T05,mid,32,user|SA|senior|mobile|T05|mid|low|low,3,0,1,0,1,low,low,mid,low
facebook,116,user,NA,mid,api,T09,mid,32,user|NA|mid|api|T09|mid|low|low,4,0,1,0,2,low,low,mid,low
facebook,73,user,OC,mid,web,T00,low,18,user|OC|mid|web|T00|low|mid|high,7,8,1,2,1,mid,high,mid,mid
facebook,299,user,EU,mid,api,T19,mid,38,user|EU|mid|api|T19|mid|mid|low,6,0,1,0,1,mid,low,mid,low
facebook,288,user,APAC,mid,mobile,T16,low,6,user|APAC|mid|mobile|T16|low|mid|low,6,0,1,0,1,mid,low,mid,low
facebook,315,user,AF,mid,api,T19,high,110,user|AF|mid|api|T19|high|low|low,0,0,1,1,2,low,low,mid,mid
facebook,119,user,OC,new,mobile,T19,very_high,122,user|OC|new|mobile|T19|very_high|high|high,10,8,1,0,1,high,high,mid,low
facebook,323,user,APAC,new,mobile,T10,high,76,user|APAC|new|mobile|T10|high|mid|high,8,10,1,6,1,mid,high,mid,high
facebook,48,user,OC,new,mobile,T18,mid,42,user|OC|new|mobile|T18|mid|low|mid,4,2,1,1,1,low,mid,mid,mid
facebook,57,user,OC,mid,mobile,T13,mid,28,user|OC|mid|mobile|T13|mid|low|low,3,0,1,0,2,low,low,mid,low
facebook,200,user,LATAM,senior,api,T10,high,112,user|LATAM|senior|api|T10|high|mid|high,6,6,1,2,1,mid,high,mid,mid
facebook,98,user,LATAM,senior,web,T17,high,96,user|LATAM|senior|web|T17|high|low|low,0,0,0,0,1,low,low,low,low
facebook,313,user,APAC,new,web,T01,high,72,user|APAC|new|web|T01|high|low|mid,5,2,1,1,2,low,mid,mid,mid
facebook,63,user,EU,mid,mobile,T10,low,10,user|EU|mid|mobile|T10|low|low|high,4,8,0,2,1,low,high,low,mid
facebook,344,user,SA,senior,api,T17,low,16,user|SA|senior|api|T17|low|low|mid,5,1,1,0,1,low,mid,mid,low
facebook,67,user,AF,veteran,web,T14,very_high,150,user|AF|veteran|web|T14|very_high|mid|high,6,11,1,2,1,mid,high,mid,mid
facebook,118,user,SA,senior,web,T02,high,70,user|SA|senior|web|T02|high|mid|mid,6,3,1,2,2,mid,mid,mid,mid
facebook,325,user,NA,senior,api,T03,high,76,user|NA|senior|api|T03|high|low|low,0,0,0,0,1,low,low,low,low
facebook,277,user,NA,mid,mobile,T03,very_high,128,user|NA|mid|mobile|T03|very_high|low|low,0,0,1,0,1,low,low,mid,low
facebook,134,user,LATAM,mid,mobile,T19,mid,36,user|LATAM|mid|mobile|T19|mid|low|mid,4,1,1,0,1,low,mid,mid,low
facebook,270,user,APAC,new,api,T06,low,6,user|APAC|new|api|T06|low|low|low,0,0,0,0,2,low,low,low,low
facebook,76,user,EU,veteran,api,T04,low,4,user|EU|veteran|api|T04|low|low|low,1,0,0,4,2,low,low,low,high
facebook,36,user,APAC,senior,mobile,T16,low,20,user|APAC|senior|mobile|T16|low|mid|low,8,0,0,0,1,mid,low,low,low
facebook,223,user,NA,veteran,api,T11,high,52,user|NA|veteran|api|T11|high|low|low,3,0,1,0,1,low,low,mid,low
facebook,274,user,EU,new,mobile,T15,mid,26,user|EU|new|mobile|T15|mid|mid|high,6,8,1,1,1,mid,high,mid,mid
facebook,88,user,ME,mid,api,T09,mid,38,user|ME|mid|api|T09|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,21,user,APAC,new,mobile,T10,very_high,128,user|APAC|new|mobile|T10|very_high|low|low,0,0,0,2,1,low,low,low,mid
facebook,339,user,APAC,mid,api,T11,high,52,user|APAC|mid|api|T11|high|mid|high,7,13,1,4,1,mid,high,mid,high
facebook,108,user,SA,new,mobile,T13,mid,24,user|SA|new|mobile|T13|mid|low|low,4,0,0,0,1,low,low,low,low
facebook,197,user,NA,veteran,api,T00,mid,30,user|NA|veteran|api|T00|mid|low|mid,5,4,0,0,1,low,mid,low,low
facebook,169,user,NA,senior,api,T05,high,74,user|NA|senior|api|T05|high|mid|mid,6,3,0,0,1,mid,mid,low,low
facebook,275,user,APAC,veteran,web,T09,low,18,user|APAC|veteran|web|T09|low|low|low,0,0,0,0,1,low,low,low,low
facebook,273,user,ME,veteran,mobile,T06,low,16,user|ME|veteran|mobile|T06|low|mid|low,7,0,0,0,1,mid,low,low,low
facebook,83,user,SA,senior,api,T01,low,12,user|SA|senior|api|T01|low|low|low,4,0,0,0,1,low,low,low,low
facebook,28,user,EU,mid,web,T00,mid,24,user|EU|mid|web|T00|mid|low|low,0,0,0,0,2,low,low,low,low
facebook,312,user,AF,senior,api,T03,mid,50,user|AF|senior|api|T03|mid|low|low,0,0,0,0,2,low,low,low,low
facebook,242,user,AF,senior,web,T17,mid,46,user|AF|senior|web|T17|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,214,user,APAC,mid,mobile,T08,mid,32,user|APAC|mid|mobile|T08|mid|low|mid,2,3,1,0,1,low,mid,mid,low
facebook,20,user,LATAM,new,web,T09,mid,28,user|LATAM|new|web|T09|mid|low|mid,4,2,0,0,1,low,mid,low,low
facebook,307,user,NA,mid,mobile,T12,low,6,user|NA|mid|mobile|T12|low|low|mid,5,3,1,1,1,low,mid,mid,mid
facebook,71,user,ME,mid,api,T10,low,4,user|ME|mid|api|T10|low|low|high,4,8,1,3,2,low,high,mid,high
facebook,333,user,AF,veteran,mobile,T12,low,14,user|AF|veteran|mobile|T12|low|low|low,2,0,0,0,1,low,low,low,low
facebook,207,user,NA,senior,mobile,T10,low,4,user|NA|senior|mobile|T10|low|mid|mid,6,1,1,0,1,mid,mid,mid,low
facebook,168,user,SA,veteran,api,T12,low,20,user|SA|veteran|api|T12|low|low|low,3,0,1,0,3,low,low,mid,low
facebook,308,user,OC,mid,api,T19,mid,46,user|OC|mid|api|T19|mid|mid|low,8,0,1,0,1,mid,low,mid,low
facebook,341,user,AF,new,api,T01,low,22,user|AF|new|api|T01|low|low|low,5,0,1,0,1,low,low,mid,low
facebook,128,user,AF,veteran,api,T04,high,54,user|AF|veteran|api|T04|high|low|mid,4,2,1,0,1,low,mid,mid,low
facebook,334,user,SA,mid,web,T14,high,54,user|SA|mid|web|T14|high|low|low,4,0,1,3,2,low,low,mid,high
facebook,238,user,LATAM,new,mobile,T16,mid,44,user|LATAM|new|mobile|T16|mid|low|low,0,0,1,0,2,low,low,mid,low
facebook,265,user,AF,mid,mobile,T08,high,52,user|AF|mid|mobile|T08|high|low|high,5,6,1,5,2,low,high,mid,high
facebook,141,user,ME,new,api,T07,high,54,user|ME|new|api|T07|high|mid|high,6,5,1,1,1,mid,high,mid,mid
facebook,78,user,APAC,mid,web,T18,low,16,user|APAC|mid|web|T18|low|low|low,0,0,0,0,1,low,low,low,low
facebook,345,user,APAC,new,web,T00,mid,30,user|APAC|new|web|T00|mid|low|low,3,0,1,0,2,low,low,mid,low
facebook,317,user,ME,new,web,T10,low,12,user|ME|new|web|T10|low|low|mid,4,2,1,2,1,low,mid,mid,mid
facebook,158,user,SA,mid,web,T12,mid,48,user|SA|mid|web|T12|mid|low|high,5,7,1,0,2,low,high,mid,low
facebook,38,user,AF,new,web,T08,low,16,user|AF|new|web|T08|low|mid|high,7,13,0,0,1,mid,high,low,low
facebook,302,user,LATAM,new,api,T06,mid,38,user|LATAM|new|api|T06|mid|low|low,4,0,0,0,1,low,low,low,low
facebook,27,user,ME,senior,mobile,T14,low,8,user|ME|senior|mobile|T14|low|low|mid,5,3,0,0,1,low,mid,low,low
facebook,54,user,APAC,new,web,T07,low,14,user|APAC|new|web|T07|low|low|low,0,0,1,2,1,low,low,mid,mid
facebook,139,user,NA,new,web,T12,low,16,user|NA|new|web|T12|low|low|high,3,7,0,1,1,low,high,low,mid
facebook,109,user,SA,veteran,web,T00,high,72,user|SA|veteran|web|T00|high|low|high,5,8,1,2,2,low,high,mid,mid
facebook,291,user,NA,new,web,T13,high,70,user|NA|new|web|T13|high|mid|high,8,8,1,0,1,mid,high,mid,low
facebook,142,user,LATAM,veteran,web,T08,high,84,user|LATAM|veteran|web|T08|high|low|mid,3,2,1,0,1,low,mid,mid,low
facebook,203,user,OC,senior,mobile,T05,high,112,user|OC|senior|mobile|T05|high|mid|high,9,6,1,3,1,mid,high,mid,high
facebook,105,user,LATAM,mid,api,T04,mid,26,user|LATAM|mid|api|T04|mid|mid|high,8,5,0,0,1,mid,high,low,low
facebook,232,user,AF,senior,mobile,T08,mid,48,user|AF|senior|mobile|T08|mid|mid|high,6,10,0,0,1,mid,high,low,low
facebook,64,user,AF,mid,mobile,T06,low,12,user|AF|mid|mobile|T06|low|mid|low,6,0,1,0,1,mid,low,mid,low
facebook,217,user,SA,veteran,api,T12,low,14,user|SA|veteran|api|T12|low|low|low,0,0,0,0,1,low,low,low,low
facebook,248,user,SA,senior,api,T03,mid,40,user|SA|senior|api|T03|mid|mid|high,7,5,0,0,1,mid,high,low,low
facebook,126,user,ME,mid,web,T00,low,12,user|ME|mid|web|T00|low|low|low,4,0,1,0,1,low,low,mid,low
facebook,224,user,AF,mid,api,T07,high,54,user|AF|mid|api|T07|high|mid|high,6,9,1,0,1,mid,high,mid,low
facebook,261,user,LATAM,mid,mobile,T12,high,74,user|LATAM|mid|mobile|T12|high|mid|high,7,6,1,3,1,mid,high,mid,high
facebook,283,user,AF,veteran,api,T13,low,8,user|AF|veteran|api|T13|low|mid|mid,9,3,0,3,1,mid,mid,low,high
facebook,144,user,LATAM,senior,api,T19,mid,28,user|LATAM|senior|api|T19|mid|low|mid,2,1,1,0,1,low,mid,mid,low
facebook,226,user,OC,veteran,api,T04,mid,26,user|OC|veteran|api|T04|mid|mid|mid,8,2,1,0,2,mid,mid,mid,low
facebook,290,user,ME,mid,web,T10,mid,26,user|ME|mid|web|T10|mid|low|low,4,0,1,0,1,low,low,mid,low
facebook,25,user,LATAM,veteran,mobile,T10,very_high,136,user|LATAM|veteran|mobile|T10|very_high|mid|high,7,14,1,0,1,mid,high,mid,low
facebook,342,user,EU,new,web,T07,high,66,user|EU|new|web|T07|high|low|low,5,0,1,0,2,low,low,mid,low
facebook,146,user,NA,senior,api,T18,low,18,user|NA|senior|api|T18|low|low|low,4,0,1,2,1,low,low,mid,mid
facebook,300,user,APAC,new,mobile,T18,low,12,user|APAC|new|mobile|T18|low|low|mid,5,2,1,0,2,low,mid,mid,low
facebook,94,user,APAC,new,mobile,T14,mid,42,user|APAC|new|mobile|T14|mid|mid|mid,7,3,0,0,1,mid,mid,low,low
facebook,1,user,LATAM,veteran,web,T18,mid,32,user|LATAM|veteran|web|T18|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,184,user,NA,new,mobile,T08,mid,34,user|NA|new|mobile|T08|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,159,user,ME,senior,web,T16,mid,26,user|ME|senior|web|T16|mid|mid|mid,6,1,0,1,1,mid,mid,low,mid
facebook,149,user,ME,mid,web,T02,mid,26,user|ME|mid|web|T02|mid|low|low,3,0,0,0,2,low,low,low,low
facebook,13,user,EU,mid,web,T07,high,60,user|EU|mid|web|T07|high|low|low,5,0,1,4,1,low,low,mid,high
facebook,59,user,OC,new,web,T15,mid,36,user|OC|new|web|T15|mid|mid|low,7,0,1,0,2,mid,low,mid,low
facebook,17,user,APAC,veteran,mobile,T01,mid,24,user|APAC|veteran|mobile|T01|mid|low|mid,4,2,1,0,1,low,mid,mid,low
facebook,326,user,OC,senior,mobile,T08,mid,36,user|OC|senior|mobile|T08|mid|low|mid,4,4,1,0,2,low,mid,mid,low
facebook,80,user,LATAM,senior,mobile,T12,mid,44,user|LATAM|senior|mobile|T12|mid|mid|high,7,11,1,2,1,mid,high,mid,mid
facebook,187,user,EU,veteran,api,T06,mid,30,user|EU|veteran|api|T06|mid|low|low,2,0,0,0,1,low,low,low,low
facebook,161,user,LATAM,new,mobile,T05,mid,48,user|LATAM|new|mobile|T05|mid|low|high,5,8,1,0,1,low,high,mid,low
facebook,66,user,AF,senior,web,T13,mid,28,user|AF|senior|web|T13|mid|low|low,5,0,1,0,1,low,low,mid,low
facebook,31,user,AF,mid,mobile,T11,mid,44,user|AF|mid|mobile|T11|mid|mid|mid,6,3,0,0,1,mid,mid,low,low
facebook,136,user,APAC,senior,web,T18,very_high,262,user|APAC|senior|web|T18|very_high|low|low,0,0,0,0,2,low,low,low,low
facebook,7,user,NA,mid,api,T12,mid,38,user|NA|mid|api|T12|mid|mid|mid,8,3,1,0,2,mid,mid,mid,low
facebook,255,user,NA,new,mobile,T17,low,2,user|NA|new|mobile|T17|low|low|low,4,0,0,0,1,low,low,low,low
facebook,49,user,EU,mid,api,T15,low,6,user|EU|mid|api|T15|low|low|mid,4,3,0,1,1,low,mid,low,mid
facebook,320,user,APAC,senior,mobile,T18,mid,40,user|APAC|senior|mobile|T18|mid|mid|mid,8,1,1,3,1,mid,mid,mid,high
facebook,85,user,OC,senior,web,T17,mid,26,user|OC|senior|web|T17|mid|mid|mid,6,2,0,0,1,mid,mid,low,low
facebook,246,user,AF,mid,web,T18,mid,26,user|AF|mid|web|T18|mid|low|low,0,0,0,0,2,low,low,low,low
facebook,123,user,NA,veteran,web,T16,mid,34,user|NA|veteran|web|T16|mid|mid|low,6,0,1,2,1,mid,low,mid,mid
facebook,284,user,SA,senior,mobile,T17,mid,30,user|SA|senior|mobile|T17|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,140,user,OC,new,web,T10,low,20,user|OC|new|web|T10|low|low|low,3,0,0,0,1,low,low,low,low
facebook,137,user,OC,mid,mobile,T14,mid,30,user|OC|mid|mobile|T14|mid|low|mid,2,1,1,0,1,low,mid,mid,low
facebook,343,user,AF,new,api,T17,mid,34,user|AF|new|api|T17|mid|low|low,0,0,0,0,2,low,low,low,low
facebook,115,user,EU,senior,web,T04,mid,40,user|EU|senior|web|T04|mid|low|mid,4,2,0,0,1,low,mid,low,low
facebook,297,user,ME,senior,api,T04,mid,48,user|ME|senior|api|T04|mid|low|high,5,9,0,0,1,low,high,low,low
facebook,185,user,ME,senior,mobile,T07,mid,50,user|ME|senior|mobile|T07|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,104,user,EU,senior,mobile,T02,high,62,user|EU|senior|mobile|T02|high|low|mid,5,2,1,2,1,low,mid,mid,mid
facebook,324,user,SA,mid,mobile,T04,mid,50,user|SA|mid|mobile|T04|mid|low|low,0,0,1,0,1,low,low,mid,low
facebook,171,user,ME,new,web,T09,high,52,user|ME|new|web|T09|high|high|high,24,6,0,0,3,high,high,low,low
facebook,111,user,ME,veteran,api,T10,mid,26,user|ME|veteran|api|T10|mid|low|low,3,0,0,0,1,low,low,low,low
facebook,14,user,SA,veteran,api,T15,mid,28,user|SA|veteran|api|T15|mid|low|mid,3,2,0,0,2,low,mid,low,low
facebook,310,user,EU,veteran,api,T01,mid,24,user|EU|veteran|api|T01|mid|low|low,0,0,1,0,1,low,low,mid,low
facebook,32,user,ME,mid,api,T12,low,10,user|ME|mid|api|T12|low|low|low,0,0,0,0,1,low,low,low,low
facebook,30,user,ME,veteran,web,T03,mid,32,user|ME|veteran|web|T03|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,222,user,EU,mid,api,T17,low,20,user|EU|mid|api|T17|low|low|mid,5,3,1,2,1,low,mid,mid,mid
facebook,92,user,APAC,mid,api,T09,mid,40,user|APAC|mid|api|T09|mid|mid|low,9,0,1,0,1,mid,low,mid,low
facebook,72,user,SA,mid,web,T02,mid,46,user|SA|mid|web|T02|mid|mid|high,6,9,0,1,1,mid,high,low,mid
facebook,40,user,EU,senior,api,T15,high,86,user|EU|senior|api|T15|high|mid|high,8,8,1,3,1,mid,high,mid,high
facebook,125,user,AF,new,web,T02,low,6,user|AF|new|web|T02|low|low|low,0,0,0,0,0,low,low,low,low
facebook,266,user,EU,mid,api,T10,mid,34,user|EU|mid|api|T10|mid|mid|mid,9,2,1,1,0,mid,mid,mid,mid
facebook,212,user,APAC,mid,web,T00,mid,34,user|APAC|mid|web|T00|mid|low|high,5,11,0,1,1,low,high,low,mid
facebook,278,user,ME,senior,mobile,T00,low,18,user|ME|senior|mobile|T00|low|low|mid,2,2,1,0,3,low,mid,mid,low
facebook,340,user,NA,new,api,T09,low,10,user|NA|new|api|T09|low|low|mid,3,4,0,0,1,low,mid,low,low
facebook,237,user,OC,veteran,web,T15,low,12,user|OC|veteran|web|T15|low|mid|high,6,6,1,1,1,mid,high,mid,mid
facebook,311,user,SA,senior,web,T16,low,12,user|SA|senior|web|T16|low|low|low,0,0,0,0,1,low,low,low,low
facebook,309,user,AF,new,mobile,T16,low,18,user|AF|new|mobile|T16|low|low|low,5,0,0,0,1,low,low,low,low
facebook,330,user,APAC,veteran,mobile,T14,mid,30,user|APAC|veteran|mobile|T14|mid|high|mid,11,4,1,0,1,high,mid,mid,low
facebook,230,user,APAC,new,api,T11,low,16,user|APAC|new|api|T11|low|low|low,0,0,0,0,1,low,low,low,low
facebook,70,user,OC,new,web,T11,low,2,user|OC|new|web|T11|low|low|mid,5,4,0,0,1,low,mid,low,low
facebook,16,user,OC,mid,api,T01,low,16,user|OC|mid|api|T01|low|low|mid,4,1,1,0,1,low,mid,mid,low
facebook,249,user,NA,veteran,web,T10,mid,46,user|NA|veteran|web|T10|mid|mid|low,7,0,0,0,1,mid,low,low,low
facebook,39,user,EU,senior,web,T13,mid,28,user|EU|senior|web|T13|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,251,user,LATAM,veteran,api,T05,mid,26,user|LATAM|veteran|api|T05|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,10,user,NA,mid,web,T04,low,18,user|NA|mid|web|T04|low|mid|mid,6,4,1,0,1,mid,mid,mid,low
facebook,55,user,APAC,veteran,web,T12,mid,32,user|APAC|veteran|web|T12|mid|mid|low,7,0,1,1,1,mid,low,mid,mid
facebook,228,user,EU,senior,api,T07,low,4,user|EU|senior|api|T07|low|low|low,0,0,0,0,1,low,low,low,low
facebook,69,user,APAC,mid,web,T07,low,18,user|APAC|mid|web|T07|low|low|high,5,6,0,3,1,low,high,low,high
facebook,113,user,APAC,senior,web,T09,high,78,user|APAC|senior|web|T09|high|mid|mid,6,4,1,1,1,mid,mid,mid,mid
facebook,258,user,OC,senior,api,T14,mid,28,user|OC|senior|api|T14|mid|mid|high,8,11,0,1,1,mid,high,low,mid
facebook,257,user,NA,veteran,mobile,T00,mid,34,user|NA|veteran|mobile|T00|mid|mid|mid,6,3,1,0,1,mid,mid,mid,low
facebook,196,user,EU,mid,mobile,T14,mid,24,user|EU|mid|mobile|T14|mid|mid|high,7,6,1,0,1,mid,high,mid,low
facebook,156,user,ME,veteran,api,T08,low,22,user|ME|veteran|api|T08|low|mid|high,7,9,1,0,2,mid,high,mid,low
facebook,303,user,SA,senior,web,T04,mid,40,user|SA|senior|web|T04|mid|low|low,0,0,0,0,1,low,low,low,low
facebook,286,user,SA,new,mobile,T03,low,2,user|SA|new|mobile|T03|low|low|low,0,0,0,0,1,low,low,low,low
facebook,81,user,LATAM,senior,api,T00,low,4,user|LATAM|senior|api|T00|low|mid|mid,7,2,1,2,1,mid,mid,mid,mid
facebook,174,user,OC,senior,mobile,T13,low,6,user|OC|senior|mobile|T13|low|low|low,0,0,0,0,1,low,low,low,low
facebook,293,user,AF,senior,mobile,T02,low,4,user|AF|senior|mobile|T02|low|low|mid,2,1,0,0,1,low,mid,low,low
facebook,33,user,APAC,mid,api,T12,low,2,user|APAC|mid|api|T12|low|low|mid,3,3,1,0,2,low,mid,mid,low
facebook,42,user,OC,new,web,T08,low,2,user|OC|new|web|T08|low|low|mid,2,2,0,0,2,low,mid,low,low
facebook,347,user,LATAM,veteran,mobile,T12,low,12,user|LATAM|veteran|mobile|T12|low|low|low,4,0,1,1,2,low,low,mid,mid
facebook,2,user,AF,senior,api,T11,low,18,user|AF|senior|api|T11|low|low|low,4,0,1,2,2,low,low,mid,mid
facebook,281,user,NA,veteran,mobile,T03,mid,30,user|NA|veteran|mobile|T03|mid|low|high,3,7,0,1,1,low,high,low,mid
facebook,263,user,AF,veteran,mobile,T01,low,12,user|AF|veteran|mobile|T01|low|mid|mid,7,1,0,1,2,mid,mid,low,mid
facebook,279,user,LATAM,veteran,mobile,T16,low,2,user|LATAM|veteran|mobile|T16|low|low|low,2,0,0,0,1,low,low,low,low
facebook,51,user,LATAM,mid,api,T00,low,12,user|LATAM|mid|api|T00|low|low|low,0,0,0,0,1,low,low,low,low
facebook,338,user,ME,mid,web,T10,low,12,user|ME|mid|web|T10|low|low|mid,3,1,0,0,1,low,mid,low,low
facebook,162,user,NA,mid,web,T13,low,14,user|NA|mid|web|T13|low|low|low,1,0,0,0,2,low,low,low,low
facebook,19,user,SA,senior,mobile,T11,mid,30,user|SA|senior|mobile|T11|mid|mid|low,7,0,0,0,1,mid,low,low,low
facebook,75,user,NA,senior,api,T04,mid,26,user|NA|senior|api|T04|mid|low|low,3,0,1,0,1,low,low,mid,low
facebook,218,user,ME,mid,mobile,T15,low,16,user|ME|mid|mobile|T15|low|low|low,3,0,0,0,1,low,low,low,low
facebook,268,user,NA,mid,api,T08,low,20,user|NA|mid|api|T08|low|low|low,2,0,0,0,1,low,low,low,low
facebook,314,user,NA,new,mobile,T13,mid,24,user|NA|new|mobile|T13|mid|mid|mid,6,4,1,2,1,mid,mid,mid,mid
facebook,5,user,AF,mid,web,T09,mid,24,user|AF|mid|web|T09|mid|low|low,5,0,0,0,1,low,low,low,low
facebook,178,user,SA,new,api,T04,mid,24,user|SA|new|api|T04|mid|mid|mid,6,4,0,0,1,mid,mid,low,low
